1165,1762,"Las Americas Intl","Santo Domingo","Dominican Republic","SDQ","MDSD",18.42,-69.66,59,-4,"U"
2251,8346,"Gimpo International Airpot","Seoul","South Korea","SEL","\N",37.55,126.79,58,9,"N"
610,994,"Seychelles Intl","Mahe","Seychelles","SEZ","FSIA",-4.67,55.52,10,4,"U"
1744,3205,"Tansonnhat Intl","Ho Chi Minh City","Vietnam","SGN","VVTS",10.81,106.65,33,7,"U"
1818,3391,"Hongqiao Intl","Shanghai","China","SHA","ZSSS",31.19,121.33,10,8,"U"
678,1102,"Amilcar Cabral Intl","Amilcar Cabral","Cape Verde","SID","GVAC",16.74,-22.94,177,-1,"U"
1776,3316,"Changi Intl","Singapore","Singapore","SIN","WSSS",1.35,103.99,22,8,"N"
1077,1646,"Sarajevo","Sarajevo","Bosnia and Herzegovina","SJJ","LQSA",43.82,18.33,1708,1,"E"
1289,1885,"Juan Santamaria Intl","San Jose","Costa Rica","SJO","MROC",9.99,-84.20,3021,-6,"U"
1617,2890,"Luis Munoz Marin Intl","San Juan","Puerto Rico","SJU","TJSJ",18.43,-66.00,9,-4,"U"
1618,2891,"Robert L Bradshaw","Basse Terre","Saint Kitts and Nevis","SKB","TKPK",17.31,-62.71,170,-4,"U"
949,1486,"Makedonia","Thessaloniki","Greece","SKG","LGTS",40.51,22.97,22,2,"E"
947,1482,"Skiros","Skiros","Greece","SKU","LGSY",38.96,24.48,44,2,"E"
1619,2893,"George F L Charles","Castries","Saint Lucia","SLU","TLPC",14.02,-60.99,22,-4,"U"
943,1476,"Samos","Samos","Greece","SMI","LGSM",37.68,26.91,19,2,"E"
726,1194,"Sofia","Sofia","Bulgaria","SOF","LBSF",42.69,23.40,1742,2,"E"
1394,2244,"Francisco C Ada Saipan Intl","Saipan","Northern Mariana Islands","SPN","PGSN",15.11,145.72,215,10,"U"
740,1206,"Split","Split","Croatia","SPU","LDSP",43.53,16.29,79,1,"E"
1531,2621,"Deputado Luis Eduardo Magalhaes","Salvador","Brazil","SSA","SBSV",-12.91,-38.33,64,-3,"S"
2096,4057,"Sharm El Sheikh Intl","Sharm El Sheikh","Egypt","SSH","HESH",27.97,34.39,143,2,"N"
1167,1764,"Cibao Intl","Santiago","Dominican Republic","STI","MDST",19.40,-70.60,565,-4,"U"
2243,7877,"Stockholm Cruise Port","Stockholm","Sweden","STO","\N",59.32,18.08,0,1,"E"
1612,2883,"Cyril E King","St. Thomas","Virgin Islands","STT","TIST",18.33,-64.97,23,-4,"U"
