"415,""Tallinn"",""Tallinn-ulemiste International"",""Estonia"",""TLL"",""EETN"",59.41,24.83,131,2,""E"""
"415,""Tallinn"",""Tallinn-ulemiste International"",""Estonia"",""TLL"",""EETN"",59.41,24.83,131,2,""E"""
"421,""Helsinki Vantaa"",""Helsinki"",""Finland"",""HEL"",""EFHK"",60.31,24.96,179,2,""E"""
"421,""Helsinki Vantaa"",""Helsinki"",""Finland"",""HEL"",""EFHK"",60.31,24.96,179,2,""E"""
"428,""Ivalo"",""Ivalo"",""Finland"",""IVL"",""EFIV"",68.60,27.40,481,2,""E"""
"428,""Ivalo"",""Ivalo"",""Finland"",""IVL"",""EFIV"",68.60,27.40,481,2,""E"""
"429,""Joensuu"",""Joensuu"",""Finland"",""JOE"",""EFJO"",62.66,29.60,398,2,""E"""
"429,""Joensuu"",""Joensuu"",""Finland"",""JOE"",""EFJO"",62.66,29.60,398,2,""E"""
"430,""Jyvaskyla"",""Jyvaskyla"",""Finland"",""JYV"",""EFJY"",62.39,25.67,459,2,""E"""
"430,""Jyvaskyla"",""Jyvaskyla"",""Finland"",""JYV"",""EFJY"",62.39,25.67,459,2,""E"""
"432,""Kemi Tornio"",""Kemi"",""Finland"",""KEM"",""EFKE"",65.78,24.59,61,1,""E"""
"432,""Kemi Tornio"",""Kemi"",""Finland"",""KEM"",""EFKE"",65.78,24.59,61,1,""E"""
"433,""Kajaani"",""Kajaani"",""Finland"",""KAJ"",""EFKI"",64.28,27.69,483,2,""E"""
"433,""Kajaani"",""Kajaani"",""Finland"",""KAJ"",""EFKI"",64.28,27.69,483,2,""E"""
"435,""Kruunupyy"",""Kruunupyy"",""Finland"",""KOK"",""EFKK"",63.72,23.14,84,2,""E"""
"435,""Kruunupyy"",""Kruunupyy"",""Finland"",""KOK"",""EFKK"",63.72,23.14,84,2,""E"""
"437,""Kuusamo"",""Kuusamo"",""Finland"",""KAO"",""EFKS"",65.98,29.23,866,2,""E"""
"437,""Kuusamo"",""Kuusamo"",""Finland"",""KAO"",""EFKS"",65.98,29.23,866,2,""E"""
"438,""Kittila"",""Kittila"",""Finland"",""KTT"",""EFKT"",67.70,24.84,644,2,""E"""
"438,""Kittila"",""Kittila"",""Finland"",""KTT"",""EFKT"",67.70,24.84,644,2,""E"""
"439,""Kuopio"",""Kuopio"",""Finland"",""KUO"",""EFKU"",63.00,27.79,323,2,""E"""
"439,""Kuopio"",""Kuopio"",""Finland"",""KUO"",""EFKU"",63.00,27.79,323,2,""E"""
"442,""Mariehamn"",""Mariehamn"",""Finland"",""MHQ"",""EFMA"",60.12,19.89,17,2,""E"""
"442,""Mariehamn"",""Mariehamn"",""Finland"",""MHQ"",""EFMA"",60.12,19.89,17,2,""E"""
"446,""Oulu"",""Oulu"",""Finland"",""OUL"",""EFOU"",64.93,25.35,47,2,""E"""
"446,""Oulu"",""Oulu"",""Finland"",""OUL"",""EFOU"",64.93,25.35,47,2,""E"""
"448,""Pori"",""Pori"",""Finland"",""POR"",""EFPO"",61.46,21.79,44,2,""E"""
"448,""Pori"",""Pori"",""Finland"",""POR"",""EFPO"",61.46,21.79,44,2,""E"""
"453,""Rovaniemi"",""Rovaniemi"",""Finland"",""RVN"",""EFRO"",66.56,25.83,642,2,""E"""
"453,""Rovaniemi"",""Rovaniemi"",""Finland"",""RVN"",""EFRO"",66.56,25.83,642,2,""E"""
"455,""Savonlinna"",""Savonlinna"",""Finland"",""SVL"",""EFSA"",61.94,28.94,311,2,""E"""
"455,""Savonlinna"",""Savonlinna"",""Finland"",""SVL"",""EFSA"",61.94,28.94,311,2,""E"""
"458,""Tampere Pirkkala"",""Tampere"",""Finland"",""TMP"",""EFTP"",61.41,23.60,390,2,""E"""
"458,""Tampere Pirkkala"",""Tampere"",""Finland"",""TMP"",""EFTP"",61.41,23.60,390,2,""E"""
